Species
Acidilobus saccharovorans
Acidiplasma aeolicum
Acidiplasma cupricumulans
Aciduliprofundum boonei
Aeropyrum camini
Aeropyrum pernix
Archaeoglobus fulgidus
Archaeoglobus profundus
Archaeoglobus sulfaticallidus
Archaeoglobus veneficus
Caldisphaera lagunensis
Caldivirga maquilingensis
Desulfurococcus fermentans
Desulfurococcus kamchatkensis
Desulfurococcus mucosus
Ferroglobus placidus
Fervidicoccus fontis
Geoglobus acetivorans
Haladaptatus paucihalophilus
Halalkalicoccus jeotgali
Halarchaeum acidiphilum
Haloarcula argentinensis
Haloarcula hispanica
Haloarcula japonica
Haloarcula marismortui
Haloarcula vallismortis
Halobacterium salinarum
Halococcus morrhuae
Halococcus saccharolyticus
Halococcus salifodinae
Haloferax denitrificans
Haloferax gibbonsii
Haloferax lucentense
Haloferax mediterranei
Haloferax prahovense
Haloferax sulfurifontis
Haloferax volcanii
Halogeometricum borinquense
Halomicrobium mukohataei
Halopiger xanaduensis
Haloquadratum walsbyi
Halorhabdus tiamatea
Halorhabdus utahensis
Halorubrum aidingense
Halorubrum arcis
Halorubrum hochstenium
Halorubrum lacusprofundi
Halorubrum lipolyticum
Halorubrum litoreum
Halorubrum saccharovorum
Halorubrum tebenquichense
Halosimplex carlsbadense
Halostagnicola larsenii
Haloterrigena thermotolerans
Haloterrigena turkmenica
Halovivax ruber
Hyperthermus butylicus
Ignicoccus hospitalis
Ignicoccus islandicus
Ignisphaera aggregans
Metallosphaera sedula
Methanobacterium congolense
Methanobacterium formicicum
Methanobacterium lacus
Methanobrevibacter curvatus
Methanobrevibacter cuticularis
Methanobrevibacter filiformis
Methanobrevibacter millerae
Methanobrevibacter olleyae
Methanobrevibacter oralis
Methanobrevibacter ruminantium
Methanobrevibacter smithii
Methanocaldococcus fervens
Methanocaldococcus infernus
Methanocaldococcus jannaschii
Methanocaldococcus villosus
Methanocaldococcus vulcanius
Methanocella arvoryzae
Methanocella conradii
Methanocella paludicola
Methanococcoides burtonii
Methanococcoides methylutens
Methanococcus aeolicus
Methanococcus maripaludis
Methanococcus vannielii
Methanococcus voltae
Methanocorpusculum labreanum
Methanoculleus bourgensis
Methanoculleus marisnigri
